timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-04-24T16:34:16,codecarbon,4d57317b-a642-4a32-9d1f-61478b61a6c1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.54485220000015,2.9035430562555623e-05,4.436376815744588e-06,112.0,0.0,10.0,0.0002035050919999,0,1.8139416111111788e-05,0.0002216445081111,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:58:50,codecarbon,30cc9784-d15c-4124-b0e3-13f570d3c2a8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.970348799999556,3.682917726887031e-06,3.795457599255769e-06,112.0,0.0,10.0,2.6056532444429952e-05,0,2.057343333333645e-06,2.81138757777636e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T16:58:55,codecarbon,d0735998-520f-46d7-afa3-ab835d455a21,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.9054379999997764,4.0054949870554135e-06,4.423820280412798e-06,112.0,0.0,10.0,2.8096683999998886e-05,0,2.4796136111111382e-06,3.0576297611110025e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:01:43,codecarbon,1815d4d2-8087-4bbd-a443-864de1c224da,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.6287529000001086,2.773503398332239e-06,4.411118260181002e-06,112.0,0.0,10.0,1.9462053333324245e-05,0,1.7097283333340682e-06,2.1171781666658312e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:01:54,codecarbon,4d47376c-d3d2-47f7-b9bb-43b5fdcde152,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.5962665999995806,2.631210354110044e-06,4.412808555957846e-06,112.0,0.0,10.0,1.8462154666659543e-05,0,1.6234205555545285e-06,2.008557522221408e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:02:01,codecarbon,20e876fa-ccff-4e22-b479-5d9060601c0b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.6213270000007469,2.745119955836613e-06,4.418156551756665e-06,112.0,0.0,10.0,1.925888222224684e-05,0,1.6962319444448642e-06,2.09551141666917e-05,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:02:49,codecarbon,c87b6889-5c7b-4162-99b7-7e9e1df1404e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,45.091827100000046,0.0001984944946427,4.402006026558241e-06,112.0,0.0,10.0,0.0013973369168888,0,0.0001178882330555,0.0015152251499444,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:03:03,codecarbon,4b273b9d-ae66-4bbb-8c50-bbc0399f111e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.512846300000092,2.4463375087391417e-05,4.437521700431047e-06,112.0,0.0,10.0,0.000171451476,0,1.5291845277778924e-05,0.0001867433212777,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:06:20,codecarbon,def7eb9a-380c-4a78-ba7c-15baccfa72f5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.153390299999956,2.2859291091388816e-05,4.435777179808991e-06,112.0,0.0,10.0,0.0001602229222222,0,1.4275483055555725e-05,0.0001744984052777,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
2025-04-24T17:09:48,codecarbon,9f95e276-8e3b-4657-828b-4fc26cfaffda,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2843491000003268,1.2539000723906586e-06,4.409720559654373e-06,112.0,0.0,10.0,8.810100444457527e-06,0,7.616558333337606e-07,9.571756277791287e-06,Spain,ESP,,gcp,europe-southwest1,Windows-10-10.0.19045-SP0,3.9.19,3.0.0,8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,,,,15.391971588134766,machine,Y,1.0
